"acc_id","id","room_no","room_capacity","status","current_room_occupancy"
"1","1","AF1","6","ACTIVE","4"
"1","2","AF2","6","ACTIVE","6"
"1","3","AG1","6","ACTIVE","5"
"1","4","AG2","6","ACTIVE","6"
"1","5","AS1","6","ACTIVE","5"
"1","6","AS2","6","ACTIVE","0"
"1","7","BF1","6","ACTIVE","5"
"1","8","BF2","6","ACTIVE","6"
"1","9","BG1","6","ACTIVE","6"
"1","10","BG2","6","ACTIVE","4"
"1","11","BS1","6","ACTIVE","5"
"1","12","BS2","6","ACTIVE","5"
"1","13","CF1","6","ACTIVE","6"
"1","14","CF2","6","ACTIVE","6"
"1","15","CG1","6","ACTIVE","5"
"1","16","CG2","6","ACTIVE","6"
"1","17","CS1","5","ACTIVE","5"
"1","18","CS2","6","ACTIVE","6"
"1","19","DG1","6","ACTIVE","4"
"1","20","DG2","6","ACTIVE","5"
"1","21","DF1","4","ACTIVE","4"
"1","22","DF2","5","ACTIVE","5"
"1","23","DS1","6","ACTIVE","4"
"1","24","DS2","6","ACTIVE","4"
"1","25","EF1","6","ACTIVE","6"
"1","26","EF2","6","ACTIVE","6"
"1","27","EG1","6","ACTIVE","4"
"1","28","EG2","6","ACTIVE","6"
"1","29","ES1","3","ACTIVE","3"
"1","30","ES2","6","ACTIVE","6"
"1","31","FF1","6","ACTIVE","6"
"1","32","FF2","3","ACTIVE","3"
"1","33","FG1","6","ACTIVE","6"
"1","34","FG2","2","ACTIVE","2"
"1","35","FS1","6","ACTIVE","6"
"1","36","FS2","3","ACTIVE","3"
"1","37","GF1","6","ACTIVE","6"
"1","38","GF2","6","ACTIVE","6"
"1","39","GG1","6","ACTIVE","6"
"1","40","GG2","5","ACTIVE","5"
"1","41","GS1","6","ACTIVE","6"
"1","42","GS2","6","ACTIVE","6"
"1","43","HS1","2","ACTIVE","2"
"1","44","HS2","4","ACTIVE","4"
"1","45","HF1","6","ACTIVE","6"
"1","46","HF2","6","ACTIVE","6"
"1","47","HG1","6","ACTIVE","6"
"1","48","HG2","6","ACTIVE","6"
"2","49","F1","14","ACTIVE","7"
"2","50","F2","14","ACTIVE","8"
"2","51","G1","14","ACTIVE","9"
"2","52","G2","14","ACTIVE","6"
"3","53","21","5","ACTIVE","5"
"3","54","22","5","ACTIVE","5"
"3","55","23","5","ACTIVE","5"
"3","56","31","5","ACTIVE","5"
"3","57","34","5","ACTIVE","5"
"3","58","41","5","ACTIVE","4"
"3","59","42","5","ACTIVE","5"
"3","60","51","5","ACTIVE","4"
"3","61","52","5","ACTIVE","5"
"3","62","53","5","ACTIVE","5"
"3","63","54","5","ACTIVE","5"
"3","64","55","5","ACTIVE","5"
"4","65","A","3","ACTIVE","3"
"4","66","A1","3","ACTIVE","3"
"4","67","B","3","ACTIVE","2"
"4","68","B2","3","ACTIVE","2"
"4","69","C","3","ACTIVE","0"
"4","70","C3","3","ACTIVE","1"
"4","71","D","3","ACTIVE","2"
"4","72","D4","3","ACTIVE","2"
"4","73","E","1","ACTIVE","0"
"4","74","E5","3","ACTIVE","3"
"4","75","F","3","ACTIVE","1"
"4","76","F6","1","ACTIVE","1"
"4","77","G","3","ACTIVE","2"
"4","78","G7","3","ACTIVE","2"
"4","79","H","3","ACTIVE","2"
"4","80","H8","1","ACTIVE","1"
"4","81","I","3","ACTIVE","2"
"4","82","J","1","ACTIVE","1"
"4","83","K","3","ACTIVE","2"
"4","84","L","3","ACTIVE","2"
"4","85","M","3","ACTIVE","2"
"4","86","N","3","ACTIVE","2"
"4","87","O","3","ACTIVE","2"
"4","88","P","1","ACTIVE","0"
"4","89","Q","1","ACTIVE","0"
"4","90","R","1","ACTIVE","0"
"4","91","S","1","ACTIVE","0"
"4","92","T","3","ACTIVE","2"
"4","93","U","3","ACTIVE","2"
"4","94","V","3","ACTIVE","2"
"4","95","W","1","ACTIVE","1"
"4","96","X","3","ACTIVE","2"
"4","97","Y","3","ACTIVE","2"
"4","98","Y1","3","ACTIVE","2"
"4","99","Z","3","ACTIVE","2"
"4","100","Z2","3","ACTIVE","3"
"5","101","F1","10","ACTIVE","8"
"5","102","F2","10","ACTIVE","7"
"5","103","G1","13","ACTIVE","13"
"6","104","1","18","ACTIVE","14"
"8","105","101","8","ACTIVE","8"
"8","106","102","8","ACTIVE","8"
"8","107","201","8","ACTIVE","8"
"8","108","202","8","ACTIVE","8"
"8","109","301","8","ACTIVE","8"
"8","110","302","7","ACTIVE","7"
"8","111","001","7","ACTIVE","6"
"13","112","1","6","ACTIVE","6"
"12","113","1","6","ACTIVE","6"
"7","114","1","3","ACTIVE","3"
"7","115","2","3","ACTIVE","3"
"7","116","3","3","ACTIVE","3"
"7","117","4","3","ACTIVE","3"
"7","118","5","3","ACTIVE","2"
"7","119","6","3","ACTIVE","2"
"7","120","7","3","ACTIVE","3"
"7","121","8","3","ACTIVE","3"
"7","122","9","3","ACTIVE","3"
"7","123","10","3","ACTIVE","3"
"7","124","11","3","ACTIVE","3"
"7","125","12","3","ACTIVE","3"
"7","126","13","3","ACTIVE","3"
"7","127","14","3","ACTIVE","3"
"7","128","15","3","ACTIVE","3"
"7","129","16","3","ACTIVE","3"
"11","130","UG1","6","ACTIVE","4"
"11","131","UG2","6","ACTIVE","2"
"11","132","F1","6","ACTIVE","3"
"11","133","F2","6","ACTIVE","0"
"11","134","F3","6","ACTIVE","0"
"11","135","F4","6","ACTIVE","0"
"11","136","S1","6","ACTIVE","0"
"11","137","S2","6","ACTIVE","0"
"11","138","S3","5","ACTIVE","0"
"11","139","S4","5","ACTIVE","0"
"11","140","T1","5","ACTIVE","0"
"11","141","T2","5","ACTIVE","0"
"11","142","T3","5","ACTIVE","0"
"11","143","T4","5","ACTIVE","0"
"9","144","101","6","ACTIVE","6"
"9","145","102","6","ACTIVE","6"
"9","146","103","6","ACTIVE","6"
"9","147","104","6","ACTIVE","5"
"9","148","201","6","ACTIVE","6"
"9","149","202","6","ACTIVE","6"
"9","150","203","6","ACTIVE","6"
"9","151","204","6","ACTIVE","6"
"9","152","301","6","ACTIVE","6"
"9","153","302","6","ACTIVE","6"
"9","154","303","6","ACTIVE","5"
"9","155","304","6","ACTIVE","5"
"9","156","UG1","6","ACTIVE","5"
"9","157","UG2","6","ACTIVE","6"
"10","158","101","5","ACTIVE","4"
"10","159","102","4","ACTIVE","3"
"10","160","103","4","ACTIVE","3"
"10","161","104","4","ACTIVE","3"
"10","162","105","4","ACTIVE","0"
"10","163","106","4","ACTIVE","0"
"10","164","107","4","ACTIVE","3"
"10","165","201","5","ACTIVE","4"
"10","166","202","5","ACTIVE","4"
"10","167","203","4","ACTIVE","2"
"10","168","204","5","ACTIVE","4"
"10","169","205","4","ACTIVE","4"
"10","170","206","4","ACTIVE","0"
"10","171","207","4","ACTIVE","4"
"10","172","208","4","ACTIVE","0"
"10","173","209","4","ACTIVE","0"
